g u-g g-r g-i g-z mux muy HRV UU VV WW Px Mv CL Typ Teff logg Pop Age Mass Mbol Radius [M/H] [a/Fe] longitude latitude RAJ2000 DECJ2000 Dist x_Gal y_Gal z_Gal Av errPx errMux errMuy errHrv errMv errMass errAge errTeff errLogg errMet errAlphaFe errBand_g errBand_u errBand_r errBand_i errBand_z
20.642 3.38 1.471 2.983 3.898 -9.215 49.014 1.41 -10.31 7.28 -2.82 0.01893 16.1 5 7.55 2947.0 5.04 2 0.2001 0.292 12.853 0.09 -0.186 0.01 238.789597 -49.307102 59.963898 -36.784988 0.0528 -8.0178 -0.0295 -0.0251 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
20.9 3.214 1.414 2.95 3.849 56.33 -47.659 13.37 3.82 -35.49 6.53 0.01052 15.11 5 7.5 3087.0 5.28 4 2.5338 0.319 12.355 0.109 0.115 0.031 238.639114 -49.598774 59.599602 -36.687988 0.0951 -8.0321 -0.0526 -0.0574 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
20.159 3.213 1.489 2.86 3.658 -32.638 5.991 -14.33 6.73 18.02 -0.63 0.01029 14.28 5 7.45 3136.0 5.06 5 4.1404 0.28 11.61 0.147 -0.237 0.001 238.751663 -49.570103 59.635502 -36.760929 0.0971 -8.0327 -0.0539 -0.0589 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
21.016 3.209 1.449 2.905 3.711 15.962 -37.655 18.58 7.38 -26.85 -8.85 0.00885 14.82 5 7.5 3153.0 5.02 7 8.652 0.0 12.059 0.123 -0.228 0.003 239.197647 -48.939342 60.425018 -37.050762 0.1129 -8.038 -0.0637 -0.0702 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
20.778 3.172 1.413 2.875 3.674 -19.806 -37.766 -27.8 30.21 12.98 14.51 0.00923 14.71 5 7.5 3077.0 4.9 7 8.3442 0.191 11.835 0.134 0.121 0.037 239.591675 -49.151241 60.158833 -37.308857 0.1084 -8.0359 -0.0611 -0.067 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
23.093 3.467 1.441 3.239 4.177 -28.043 6.861 -10.84 5.44 16.86 -1.73 0.00903 16.91 5 7.6 2877.0 5.29 7 8.3367 0.019 13.429 0.073 0.23 -0.015 239.039413 -48.910259 60.460861 -36.946663 0.1107 -8.0374 -0.0624 -0.0684 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
21.656 3.164 1.446 2.951 3.834 22.204 58.131 32.63 -45.95 -10.32 -17.52 0.00789 15.22 5 7.5 2981.0 5.06 5 3.9267 0.186 12.281 0.112 0.145 0.008 239.689255 -48.889561 60.487663 -37.373825 0.1267 -8.042 -0.0719 -0.0804 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
21.421 3.193 1.457 2.914 3.758 34.996 0.513 -7.07 -6.46 -11.32 20.07 0.00726 14.8 5 7.5 3020.0 5.19 5 4.0722 0.09 12.133 0.119 -0.054 0.014 238.796906 -49.426987 59.814236 -36.790104 0.1377 -8.0464 -0.0766 -0.0896 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
19.685 3.064 1.385 2.605 3.303 45.815 27.596 26.29 -34.52 -22.31 1.61 0.0077 13.26 5 7.4 3256.0 4.83 7 8.5348 0.135 10.748 0.206 -0.158 0.018 238.643936 -49.034882 60.302811 -36.688004 0.1299 -8.0443 -0.0727 -0.0831 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
22.892 2.006 0.983 1.335 1.584 0.649 68.601 61.4 -60.67 -11.34 -47.05 0.00715 16.53 6 9.2 4419.0 8.22 7 8.3712 0.832 16.42 0.008 -0.244 0.036 238.408142 -49.717068 59.451717 -36.538795 0.1399 -8.0474 -0.077 -0.0917 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
